l	fo
5318	0.79076478765
5319	0.80178454638
5320	0.80051274285
5321	0.79078763442
5322	0.78327866268
5323	0.77544222057
5324	0.76727830809
5325	0.75875646288
5326	0.74497986057
5327	0.74247433146
5328	0.74695991397
5329	0.76021865616
5330	0.77005799844
5331	0.78359851746
5332	0.79143495957
5333	0.79659832959
5334	0.79794628902
5335	0.79564638084
5336	0.78687322116
5337	0.78239525424
5338	0.77987449395
5339	0.77696533857
5340	0.77407902996
5341	0.76962390981
5342	0.7701646167
5343	0.77795536527
5344	0.78037712289
5345	0.77992780308
5346	0.77342408922
5347	0.77538129585
5348	0.78317204442
5349	0.79029262107
5350	0.79819760349
5351	0.80781609366
5352	0.8144111946
5353	0.82052651337
5354	0.82317673869
5355	0.8230929672
5356	0.81978018555
5357	0.81617801148
5358	0.8096133729
5359	0.80564565051
5360	0.80280503544
5361	0.8019977829
5362	0.79668971667
5363	0.78809171556
